date,tag,mass,temp,sal,notes
11/6/2023,SD1,5.1151,,,
11/6/2023,SD2,13.6372,,,
11/6/2023,S1,0.729,26.7,33.8,
11/6/2023,S2,11.8728,26.7,33.8,
11/6/2023,90,22.9243,26.1,33.7,
11/6/2023,83,23.5657,26.1,33.7,
11/6/2023,89,22.1822,26.2,33.7,
11/6/2023,23,23.0931,26.2,33.7,
11/6/2023,56,23.1263,26.2,33.7,
11/6/2023,78,22.3464,26.3,33.7,
11/6/2023,68,21.4386,26.3,33.7,
11/6/2023,86,22.0931,26.3,33.7,
11/6/2023,20,23.2622,26.4,33.7,
11/6/2023,88,1.0048,26.4,33.7,
11/6/2023,76,1.9389,26.4,33.7,
11/6/2023,55,1.1595,26.4,33.7,
11/6/2023,42,1.4815,26.5,33.7,
11/6/2023,49,1.0015,26.5,33.7,
11/6/2023,37,0.9956,26.5,33.7,
11/6/2023,0,0.9179,26.5,33.7,
11/6/2023,73,1.2614,26.5,33.7,
11/6/2023,70,23.2091,26.6,33.8,
11/6/2023,SD1,5.1172,,,
11/6/2023,SD2,13.6379,,,
11/6/2023,S1,0.7314,26.8,33.8,
11/6/2023,S2,11.8716,26.8,33.8,
11/6/2023,64,22.917,26.9,33.8,
11/6/2023,79,22.7212,27,33.8,
11/6/2023,63,22.6913,27,33.8,
11/6/2023,75,23.0062,27,33.8,
11/6/2023,87,23.6216,27,33.8,
11/6/2023,96,23.2348,27,33.8,
11/6/2023,44,22.6965,27,33.8,
11/6/2023,45,23.3307,27,33.8,
11/6/2023,8,22.4649,27,33.8,
11/6/2023,35,23.2802,27,33.8,
11/6/2023,15,1.0298,27.3,33.8,
11/6/2023,24,1.0297,27.3,33.8,
11/6/2023,21,0.966,27.3,33.8,
11/6/2023,25,1.2729,27.3,33.8,
11/6/2023,13,1.026,27.3,33.8,
11/6/2023,18,1.2666,27.3,33.8,
11/6/2023,61,1.1594,27.3,33.8,
11/6/2023,46,1.3407,27.3,33.8,
11/6/2023,19,1.1488,27.4,33.8,
11/6/2023,39,1.1227,27.4,33.8,
11/6/2023,34,1.471,27.5,33.8,
