"sample_id","db_id","date","time","type","uM","ppm","note","nutrient"
"PMK-01","23AA-01",2023-09-07,,"Lab",11.18,0.1566,,"NH4"
"PMK-02","23AA-02",2023-09-07,,"Lab",2.2,0.0308,,"NH4"
"PMK-03","23AA-03",2023-09-07,,"Lab",3.34,0.0468,,"NH4"
"PMK-04","23AA-04",2023-09-07,,"Lab",1.63,0.0228,,"NH4"
"PMK-05","23AA-05",2023-09-08,,"Lab",0.36,0.005,,"NH4"
"PMK-06","23AA-06",2023-09-08,,"Lab",2.03,0.0284,,"NH4"
"PMK-07","23AA-07",2023-09-08,,"Lab",1.265,0.0177,"A","NH4"
"PMK-09","23AA-09",2023-09-08,,"Lab",0.09,0.0013,,"NH4"
"PMK-10","23AA-10",2023-09-08,,"Lab",2.27,0.0318,,"NH4"
"PMK-11","23AA-11",2023-09-10,,"Lab",1.19,0.0167,,"NH4"
"PMK-12","23AA-12",2023-09-10,,"Lab",1.32,0.0185,,"NH4"
"PMK-13","23AA-13",2023-09-10,,"Lab",0.26,0.0036,,"NH4"
"PMK-14","23AA-14",2023-09-10,,"Lab",2.8,0.0392,,"NH4"
"PMK-15","23AA-15",2023-09-10,,"Lab",0.17,0.0024,,"NH4"
"PMK-16","23AA-16",2023-09-10,,"Lab",0.065,9e-04,"A","NH4"
"PMK-01","23AA-01",2023-09-07,,"Lab",3.8,0.0532,,"NO3"
"PMK-02","23AA-02",2023-09-07,,"Lab",2.45,0.0343,,"NO3"
"PMK-03","23AA-03",2023-09-07,,"Lab",2.49,0.0349,,"NO3"
"PMK-04","23AA-04",2023-09-07,,"Lab",1.82,0.0255,,"NO3"
"PMK-05","23AA-05",2023-09-08,,"Lab",1.85,0.0259,,"NO3"
"PMK-06","23AA-06",2023-09-08,,"Lab",2.26,0.0317,,"NO3"
"PMK-07","23AA-07",2023-09-08,,"Lab",2.615,0.0366,"A","NO3"
"PMK-09","23AA-09",2023-09-08,,"Lab",2.77,0.0388,,"NO3"
"PMK-10","23AA-10",2023-09-08,,"Lab",3.19,0.0447,,"NO3"
"PMK-11","23AA-11",2023-09-10,,"Lab",2.62,0.0367,,"NO3"
"PMK-12","23AA-12",2023-09-10,,"Lab",2.96,0.0415,,"NO3"
"PMK-13","23AA-13",2023-09-10,,"Lab",2.87,0.0402,,"NO3"
"PMK-14","23AA-14",2023-09-10,,"Lab",2.94,0.0412,,"NO3"
"PMK-15","23AA-15",2023-09-10,,"Lab",3.19,0.0447,,"NO3"
"PMK-16","23AA-16",2023-09-10,,"Lab",3.355,0.047,"A","NO3"
"PMK-01","23AA-01",2023-09-07,,"Lab",0.35,0.0049,,"NO2"
"PMK-02","23AA-02",2023-09-07,,"Lab",0.25,0.0035,,"NO2"
"PMK-03","23AA-03",2023-09-07,,"Lab",0.25,0.0035,,"NO2"
"PMK-04","23AA-04",2023-09-07,,"Lab",0.18,0.0025,,"NO2"
"PMK-05","23AA-05",2023-09-08,,"Lab",0.24,0.0034,,"NO2"
"PMK-06","23AA-06",2023-09-08,,"Lab",0.21,0.0029,,"NO2"
"PMK-07","23AA-07",2023-09-08,,"Lab",0.08,0.0011,"A","NO2"
"PMK-09","23AA-09",2023-09-08,,"Lab",0.22,0.0031,,"NO2"
"PMK-10","23AA-10",2023-09-08,,"Lab",0.19,0.0027,,"NO2"
"PMK-11","23AA-11",2023-09-10,,"Lab",0.27,0.0038,,"NO2"
"PMK-12","23AA-12",2023-09-10,,"Lab",0.19,0.0027,,"NO2"
"PMK-13","23AA-13",2023-09-10,,"Lab",0.24,0.0034,,"NO2"
"PMK-14","23AA-14",2023-09-10,,"Lab",0.04,6e-04,,"NO2"
"PMK-15","23AA-15",2023-09-10,,"Lab",0.01,1e-04,,"NO2"
"PMK-16","23AA-16",2023-09-10,,"Lab",0.02,3e-04,"A","NO2"
"PMK-01","23AA-01",2023-09-07,,"Lab",6.01,0.1688,,"Si"
"PMK-02","23AA-02",2023-09-07,,"Lab",5.12,0.1438,,"Si"
"PMK-03","23AA-03",2023-09-07,,"Lab",5.37,0.1508,,"Si"
"PMK-04","23AA-04",2023-09-07,,"Lab",4.21,0.1182,,"Si"
"PMK-05","23AA-05",2023-09-08,,"Lab",5.93,0.1665,,"Si"
"PMK-06","23AA-06",2023-09-08,,"Lab",5.92,0.1663,,"Si"
"PMK-07","23AA-07",2023-09-08,,"Lab",5.755,0.1616,"A","Si"
"PMK-09","23AA-09",2023-09-08,,"Lab",6.31,0.1772,,"Si"
"PMK-10","23AA-10",2023-09-08,,"Lab",7.01,0.1969,,"Si"
"PMK-11","23AA-11",2023-09-10,,"Lab",6.09,0.171,,"Si"
"PMK-12","23AA-12",2023-09-10,,"Lab",6.67,0.1873,,"Si"
"PMK-13","23AA-13",2023-09-10,,"Lab",6.12,0.1719,,"Si"
"PMK-14","23AA-14",2023-09-10,,"Lab",6.28,0.1764,,"Si"
"PMK-15","23AA-15",2023-09-10,,"Lab",6.48,0.182,,"Si"
"PMK-16","23AA-16",2023-09-10,,"Lab",6.525,0.1833,"A","Si"
"PMK-01","23AA-01",2023-09-07,,"Lab",0.65,0.0201,,"PO4"
"PMK-02","23AA-02",2023-09-07,,"Lab",0.3,0.0093,,"PO4"
"PMK-03","23AA-03",2023-09-07,,"Lab",0.34,0.0105,,"PO4"
"PMK-04","23AA-04",2023-09-07,,"Lab",0.39,0.0121,,"PO4"
"PMK-05","23AA-05",2023-09-08,,"Lab",0.03,9e-04,,"PO4"
