date,id,mass,salinity,temperature
3/6/2024,F0,1.0798,33.3,23.9
3/14/2024,F0,1.0892,32,25
3/20/2024,F0,1.0978,34.1,24.2
3/29/2024,F0,1.1021,32.8,24.7
4/3/2024,F0,1.1091,30.1,25.3
3/6/2024,F1,1.5195,33.3,24
3/14/2024,F1,1.5364,32,24.9
3/20/2024,F1,1.5466,34.2,24.3
3/29/2024,F1,1.5684,32.8,24.6
4/3/2024,F1,1.5815,30.1,25.3
3/6/2024,F102,22.3615,33.3,23.9
3/14/2024,F102,22.5463,32,25.9
3/22/2024,F102,22.6713,34.1,23.9
3/29/2024,F102,22.8087,32.9,25.3
4/7/2024,F102,23.0018,32.1,24.8
3/8/2024,F12,2.4096,31.2,25.3
3/14/2024,F12,2.4182,32,25.3
3/22/2024,F12,2.4248,34.1,25.3
3/29/2024,F12,2.4507,32.9,23.8
4/7/2024,F12,2.4698,31.6,25.5
3/6/2024,F13,1.115,33.3,23.9
3/14/2024,F13,1.1353,32,24.8
3/20/2024,F13,1.1405,34.2,24.3
3/29/2024,F13,1.1578,32.8,24.7
4/3/2024,F13,1.1718,30.1,25.4
3/8/2024,F14,22.2871,31.2,25.8
3/14/2024,F14,22.4019,32,27.2
3/22/2024,F14,22.5224,34.1,25.5
3/28/2024,F14,22.6585,32.2,25.5
4/5/2024,F14,22.8144,32.2,24.6
3/8/2024,F15,1.778,31.2,25.4
3/14/2024,F15,1.795,32,25.4
3/22/2024,F15,1.8099,34.1,25.3
3/29/2024,F15,1.83,32.7,24.4
4/7/2024,F15,1.846,31.7,25.4
3/6/2024,F18,2.1061,33.4,24
3/14/2024,F18,2.1196,32,24.8
3/20/2024,F18,2.1276,34.2,24.2
3/29/2024,F18,2.1387,32.9,24.2
4/3/2024,F18,2.1491,30.2,25.4
3/8/2024,F19,1.742,31.1,25.4
3/14/2024,F19,1.7624,32,25.4
3/22/2024,F19,1.7737,34.1,25.3
3/29/2024,F19,1.7862,32.8,24
4/7/2024,F19,1.8008,31.7,25.5
3/8/2024,F21,1.2004,31.2,25.3
3/14/2024,F21,1.2101,32,25.4
3/22/2024,F21,1.2285,34.1,25.3
3/29/2024,F21,1.2505,32.7,24.2
4/7/2024,F21,1.2645,31.6,25.4
3/6/2024,F22,1.2743,33.3,24.2
3/14/2024,F22,1.2945,32,24.6
3/20/2024,F22,1.3035,34.2,24.6
3/29/2024,F22,1.3206,32.9,24.3
4/3/2024,F22,1.3335,30.1,25.2
3/6/2024,F25,3.1062,33.3,23.9
3/14/2024,F25,3.1319,32,24.6
3/20/2024,F25,3.1411,34.2,24.3
3/29/2024,F25,3.165,32.8,24.6
