date,tank,tag,treatment,ymd,variable,value
2024-02-28T14:07:00Z,TTB1,10062,eAE,2/28/2024,temp.ERL,27.2288
2024-02-28T14:07:00Z,TTB1,10062,eAE,2/28/2024,salinity,34.8008307
2024-02-28T14:07:00Z,TTB1,10062,eAE,2/28/2024,DIC,2148.233521
2024-02-28T14:07:00Z,TTB1,10062,eAE,2/28/2024,ta,2459.347771
2024-02-28T14:07:00Z,TTB1,10062,eAE,2/28/2024,spec_pHCorrected,8.004809698
2024-02-28T14:07:00Z,TTB1,10062,eAE,2/28/2024,ph_calc,8.009292408
2024-02-28T14:07:00Z,TTB1,10062,eAE,2/28/2024,CO2,12.61168001
2024-02-28T14:07:00Z,TTB1,10062,eAE,2/28/2024,pCO2,470.3456342
2024-02-28T14:07:00Z,TTB1,10062,eAE,2/28/2024,HCO3,1907.969308
2024-02-28T14:07:00Z,TTB1,10062,eAE,2/28/2024,CO3,227.6525326
2024-02-28T14:07:00Z,TTB1,10062,eAE,2/28/2024,OmegaAragonite,3.65736538
2024-02-28T14:11:00Z,TTB2,10086,control,2/28/2024,temp.ERL,27.331
2024-02-28T14:11:00Z,TTB2,10086,control,2/28/2024,salinity,34.74708631
2024-02-28T14:11:00Z,TTB2,10086,control,2/28/2024,DIC,2147.368706
2024-02-28T14:11:00Z,TTB2,10086,control,2/28/2024,ta,2457.491622
2024-02-28T14:11:00Z,TTB2,10086,control,2/28/2024,spec_pHCorrected,8.001878676
2024-02-28T14:11:00Z,TTB2,10086,control,2/28/2024,ph_calc,8.007099274
2024-02-28T14:11:00Z,TTB2,10086,control,2/28/2024,CO2,12.6551804
2024-02-28T14:11:00Z,TTB2,10086,control,2/28/2024,pCO2,473.0045817
2024-02-28T14:11:00Z,TTB2,10086,control,2/28/2024,HCO3,1907.680864
2024-02-28T14:11:00Z,TTB2,10086,control,2/28/2024,CO3,227.032662
2024-02-28T14:11:00Z,TTB2,10086,control,2/28/2024,OmegaAragonite,3.650665953
2024-02-28T14:13:00Z,TTD1,10044,control,2/28/2024,temp.ERL,27.3979
2024-02-28T14:13:00Z,TTD1,10044,control,2/28/2024,salinity,34.71169281
2024-02-28T14:13:00Z,TTD1,10044,control,2/28/2024,DIC,2143.88813
2024-02-28T14:13:00Z,TTD1,10044,control,2/28/2024,ta,2454.319712
2024-02-28T14:13:00Z,TTD1,10044,control,2/28/2024,spec_pHCorrected,8.004224424
2024-02-28T14:13:00Z,TTD1,10044,control,2/28/2024,ph_calc,8.007503574
2024-02-28T14:13:00Z,TTD1,10044,control,2/28/2024,CO2,12.60769413
