date,photoIDs,pos1,pos2,pos3,pos4,pos5
2/23/2024,273-276,13,43,46,25,
2/23/2024,277-279,39,22,37,0,
2/23/2024,280-284,61,1,18,31,
2/23/2024,286-290,19,7,21,34,
2/23/2024,291-296,73,49,88,12,
2/23/2024,297-302,76,67,15,52,
2/23/2024,303-307,69,102,32,44,
2/23/2024,308-312,64,35,90,68,
2/23/2024,313-317,45,77,70,33,
2/23/2024,319-323,56,92,80,75,
2/23/2024,324-327,9,48,87,50,
2/23/2024,329-337,99,53,14,8,
3/12/2024,338-340,53,77,32,33,
3/12/2024,341-343,44,45,69,64,
3/12/2024,344-346,102,68,70,90,
3/12/2024,347-349,39,25,18,37,
3/12/2024,361-363,43,61,1,13,
3/12/2024,364-366,0,46,31,22,
3/12/2024,370-373,15,34,7,21,
3/12/2024,374-376,73,12,88,19,
3/12/2024,377-379,67,52,76,49,
3/12/2024,382-385,56,48,8,14,
3/12/2024,386-388,9,50,,99,
3/12/2024,389-391,75,92,53,,
3/12/2024,394-397,69,64,102,68,
4/3/2024,426-432,61,25,39,22,
4/3/2024,433-439,43,18,1,13,
4/3/2024,440-446,46,37,0,31,
4/3/2024,447-453,7,15,21,73,
4/3/2024,454-460,88,49,67,12,
4/3/2024,461-467,76,19,52,34,
4/3/2024,468-474,102,64,69,45,
4/3/2024,475-481,44,33,32,77,
4/3/2024,482-488,35,90,70,68,
4/3/2024,489-497,99,87,50,9,
4/3/2024,498-502,14,8,48,56,
4/3/2024,504-511,53,92,75,80,
4/22/2024,532-535,0,1,18,25,13
4/22/2024,536-538,22,46,43,37,
4/22/2024,539-542,31,39,61,,
4/22/2024,543-545,32,70,90,,68
4/22/2024,546-548,64,102,44,33,
4/22/2024,549-550,35,69,45,77,
4/22/2024,551-553,21,73,34,49,
4/22/2024,554-557,67,12,15,88,
4/22/2024,558-560,76,52,7,19,
4/22/2024,561-563,9,,50,53,92
4/22/2024,564-565,56,8,,75,14
4/22/2024,566-568,87,48,,99,80
