date,photoID,position,area,x,y,,,,,
2/23/2024,273,1,3.071,1.657,1.738,,,,,
2/23/2024,273,2,2.729,1.674,1.73,,,,,
2/23/2024,273,3,2.386,1.721,1.528,,,,,
2/23/2024,273,4,2.754,1.623,1.893,,,,,
2/23/2024,277,1,2.384,1.483,1.463,,,,,
2/23/2024,277,2,2.328,1.56,1.484,,,,,
2/23/2024,277,3,2.203,1.448,1.501,,,,,
2/23/2024,277,4,2.291,1.368,1.691,,,,,
2/23/2024,280,1,2.682,1.692,1.619,,,,,
2/23/2024,280,2,2.487,1.553,1.579,,,,,
2/23/2024,280,3,2.514,1.468,1.634,,,,,
2/23/2024,280,4,2.459,1.513,1.727,,,,,
2/23/2024,287,1,2.565,1.335,1.535,,,,,
2/23/2024,287,2,2.676,1.477,1.649,,,,,
2/23/2024,287,3,1.846,1.379,1.338,,,,,
2/23/2024,287,4,2.381,1.542,1.509,,,,,
2/23/2024,292,1,2.283,1.398,1.272,,,,,
2/23/2024,292,2,2.154,1.539,1.479,,,,,
2/23/2024,292,3,2.125,1.232,1.371,,,,,
2/23/2024,292,4,2.323,1.417,1.715,,,,,
2/23/2024,297,1,2.734,1.497,1.627,,,,,
2/23/2024,297,2,2.394,1.681,1.745,,,,,
2/23/2024,297,3,2.952,1.767,1.748,,,,,
2/23/2024,297,4,2.58,1.655,1.562,,,,,
2/23/2024,303,1,2.123,1.841,1.587,,,,,
2/23/2024,303,2,2.036,1.463,1.377,,,,,
2/23/2024,303,3,2.559,1.725,1.587,,,,,
2/23/2024,303,4,2.277,1.458,1.496,,,,,
2/23/2024,308,1,2.65,1.704,1.624,,,,,
2/23/2024,308,2,2.247,1.35,1.685,,,,,
2/23/2024,308,3,2.009,1.466,1.406,,,,,
2/23/2024,308,4,2.515,1.461,1.696,,,,,
2/23/2024,313,1,2.493,1.474,1.683,,,,,
2/23/2024,313,2,2.237,1.395,1.24,,,,,
2/23/2024,313,3,2.386,1.535,1.466,,,,,
2/23/2024,313,4,2.425,1.45,1.598,,,,,
2/23/2024,319,1,2.125,1.415,1.39,,,,,
2/23/2024,319,2,2.025,1.752,1.336,,,,,
2/23/2024,319,3,2.498,1.587,1.626,,,,,
2/23/2024,319,4,2.439,1.539,1.621,,,,,
2/23/2024,324,1,2.827,1.702,1.529,,,,,
2/23/2024,324,2,3.489,1.818,1.87,,,,,
2/23/2024,324,3,2.177,1.609,1.418,,,,,
2/23/2024,324,4,2.629,1.669,1.731,,,,,
2/23/2024,329,1,2.812,1.695,1.578,,,,,
2/23/2024,329,2,2.625,1.592,1.718,,,,,
2/23/2024,329,3,2.398,1.554,1.585,,,,,
2/23/2024,329,4,2.595,1.806,1.481,,,,,
3/12/2024,338,1,2.959,1.698,1.313,,,,,
3/12/2024,338,2,2.557,1.449,1.426,,,,,
3/12/2024,338,3,2.924,1.842,1.763,,,,,
3/12/2024,338,4,2.543,1.572,1.715,,,,,
3/12/2024,341,1,2.644,1.62,1.624,,,,,
3/12/2024,341,2,2.477,1.647,1.533,,,,,
3/12/2024,341,3,2.413,1.354,1.541,,,,,
3/12/2024,341,4,3.01,1.471,1.796,,,,,
3/12/2024,344,1,2.555,1.444,1.434,,,,,
3/12/2024,344,2,2.694,1.557,1.645,,,,,
3/12/2024,344,3,2.784,1.495,1.425,,,,,
